dummy,event,date,eventnumber,position,time,agegrade,PB  ,mins,secs,runnumber
,Barnsley,26/01/2019,421,169,29:20:00,53.24%,PB  ,29,20,110
,Hilly Fields,16/02/2019,344,290,47:52:00,32.87%, ,47,52,111
,Princes,23/02/2019,409,300,29:02:00,54.19%, ,29,2,112
,Chippenham,06/04/2019,256,116,28:49:00,54.60%, ,28,49,113
,Penistone,13/04/2019,1,337,37:34:00,41.88%, ,37,34,114
,Catford,20/04/2019,51,171,41:28:00,37.94%, ,41,28,115
,Hilly Fields,27/04/2019,354,222,31:31:00,49.92%, ,31,31,116
,Sunny Hill,04/05/2019,6,44,32:13:00,48.84%, ,32,13,117
,Dartford,18/05/2019,237,115,30:38:00,51.36%, ,30,38,118
,Bethlem Royal Hospital,25/05/2019,1,202,45:55:00,34.26%, ,45,55,119
,Hilly Fields,01/06/2019,359,285,35:54:00,43.83%, ,35,54,120
,Bethlem Royal Hospital,08/06/2019,3,134,29:08:00,54.00%,PB  ,29,8,121
,Newbury,15/06/2019,396,508,33:24:00,47.11%, ,33,24,122
,Concord,22/06/2019,439,123,39:42:00,39.63%, ,39,42,123
,Heslington,29/06/2019,70,270,28:32:00,55.14%, ,28,32,124
,Hilly Fields,20/07/2019,365,185,31:45:00,49.55%, ,31,45,125
,Hilly Fields,27/07/2019,366,126,01:02:30,25.17%, ,62,30,126
,Hilly Fields,03/08/2019,367,237,37:54:00,41.51%, ,37,54,127
,Greenwich,24/08/2019,506,154,29:33:00,53.24%, ,29,33,128
,Mole Valley,31/08/2019,79,271,33:28:00,47.01%, ,33,28,129
,Hilly Fields,07/09/2019,372,346,36:04:00,43.62%, ,36,4,130
,Hilly Fields,14/09/2019,373,357,51:52:00,30.33%, ,51,52,131
,Edinburgh,28/09/2019,515,462,30:00:00,52.44%, ,30,0,132
,Hilly Fields,12/10/2019,377,196,31:00:00,50.75%, ,31,0,133
,Folkestone,19/10/2019,269,107,29:06:00,54.07%, ,29,6,134
,Bushy Park,26/10/2019,812,628,31:53:00,49.35%, ,31,53,135
,York,09/11/2019,354,369,28:55:00,54.41%, ,28,55,136
,Hilly Fields,23/11/2019,383,252,32:32:00,48.36%, ,32,32,137
,Hilly Fields,18/01/2020,393,374,42:52:00,36.70%, ,42,52,138
,Dulwich,25/01/2020,416,686,49:08:00,32.02%, ,49,8,139
,Hilly Fields,01/02/2020,395,308,37:18:00,42.58%, ,42,58,140
,Brockwell,08/02/2020,455,545,44:34:00,35.64%, ,44,34,141
,Hilly Fields,22/02/2020,398,289,38:17:00,41.49%, ,38,17,142
,Highbury Fields,29/02/2020,440,241,36:08:00,43.96%, ,36,8,143
,Catford,07/03/2020,99,198,35:42:00,44.49%, ,35,42,144
,Hilly Fields,14/03/2020,401,228,35:42:00,44.49%, ,35,42,145
,Hilly Fields,24/07/2021,402,195,46:24:00,34.55%, ,46,24,146
,Hilly Fields,31/07/2021,403,194,40:18:00,39.78%, ,40,18,147
,Nonsuch,07/08/2021,446,336,42:24:00,37.81%, ,42,24,148
,Catford,14/08/2021,104,157,38:25:00,41.74%, ,38,25,149
,Catford,21/08/2021,105,160,39:15:00,40.85%, ,39,15,150
,Beckenham Place,28/08/2021,183,255,39:06:00,41.01%, ,39,6,151
,Hilly Fields,11/09/2021,409,258,49:01:00,32.71%, ,49,1,152
,Sutcliffe,18/09/2021,2,244,39:00:00,41.11%, ,39,0,153
,Hilly Fields,25/09/2021,411,205,43:25:00,36.93%, ,43,25,154
,Hilly Fields,02/10/2021,412,216,42:00:00,38.17%, ,42,0,155
,Hilly Fields,09/10/2021,413,218,56:44:00,28.26%, ,56,44,156
,Bexley,16/10/2021,436,304,39:44:00,40.35%, ,39,44,157
,Sutcliffe,23/10/2021,7,183,38:12:00,41.97%,PB  ,38,12,158
,Southwark,30/10/2021,346,215,38:24:00,41.75%, ,38,24,159
,Finsbury Park,06/11/2021,522,499,40:05:00,40.00%, ,40,5,160
,Catford,20/11/2021,118,182,48:04:00,33.36%, ,48,4,161
,Catford,27/11/2021,119,165,41:45:00,38.40%, ,41,45,162
,Charlton,04/12/2021,10,142,40:42:00,39.39%, ,40,42,163
,Swanley,11/12/2021,8,77,38:54:00,41.22%, ,38,54,164
,Hilly Fields,18/12/2021,423,142,40:50:00,39.27%, ,40,50,165
,Catford,25/12/2021,123,119,56:37:00,28.32%, ,56,37,166
,Catford,01/01/2022,124,113,43:31:00,36.84%, ,43,31,167
,Sutcliffe,08/01/2022,18,209,38:57:00,41.16%, ,38,57,168
,Charlton,15/01/2022,15,196,50:43:00,31.61%, ,50,43,169
,Swanley,22/01/2022,13,79,40:39:00,39.44%, ,40,39,170
,Charlton,29/01/2022,17,203,39:28:00,41.05%,PB  ,39,28,171
,Sutcliffe,05/02/2022,22,189,37:24:00,43.32%,PB  ,37,24,172
,Monsal Trail,12/02/2022,121,198,39:29:00,41.03%, ,39,29,173
,Charlton,19/02/2022,20,174,40:55:00,39.59%, ,40,55,174
,Jesmond Dene,26/02/2022,47,117,42:17:00,38.31%, ,42,17,175
,Barnsley,05/03/2022,512,117,40:17:00,40.22%, ,40,17,176
,Hilly Fields,12/03/2022,435,190,39:25:00,41.10%, ,39,25,177
,Crosby,19/03/2022,254,175,38:48:00,41.75%, ,38,48,178
,Nansenparken,26/03/2022,17,41,38:44:00,41.82%, ,38,44,179
,Beckton,02/04/2022,447,43,38:40:00,41.90%, ,38,40,180
,Cyclopark,09/04/2022,73,68,37:08:00,43.63%, ,37,8,181
,Ally Pally,16/04/2022,448,205,40:16:00,40.23%, ,40,16,182
,Charlton,23/04/2022,29,153,37:24:00,43.32%,PB  ,37,24,183
,University Parks,30/04/2022,12,354,40:20:00,40.17%, ,40,20,184
,Sutcliffe,14/05/2022,36,201,37:50:00,42.82%, ,37,50,185
,Clapham Common,21/05/2022,130,685,39:13:00,41.31%, ,39,13,186
,Hoblingwell,28/05/2022,189,83,59:42:00,27.14%, ,59,42,187
,Tooting Common,04/06/2022,255,320,50:22:00,32.16%, ,50,22,188
,Catford,11/06/2022,145,155,40:43:00,39.79%, ,40,43,189
,Hilly Fields,18/06/2022,449,214,53:17:00,30.40%, ,53,17,190
,Catford,25/06/2022,146,182,36:51:00,43.96%, ,36,51,191
,Peel,02/07/2022,38,216,37:18:00,43.43%, ,37,18,192
,Catford,09/07/2022,148,148,59:17:00,27.33%, ,59,17,193
,Lullingstone,16/07/2022,307,48,46:17:00,35.00%, ,46,17,194
,Catford,23/07/2022,149,147,59:24:00,27.27%, ,59,24,195
,Hilly Fields,13/08/2022,456,134,44:40:00,36.27%, ,44,40,196
,Zuiderpark,20/08/2022,43,102,37:31:00,43.18%, ,37,31,197
,Catford,27/08/2022,154,142,58:35:00,27.65%, ,58,35,198
,Mile End,03/09/2022,479,286,38:29:00,42.10%, ,38,29,199
,Hilly Fields,10/09/2022,460,265,01:01:22,26.40%, ,61,22,200
,Aberdeen,17/09/2022,511,209,37:56:00,42.71%, ,37,56,201
,Catford,24/09/2022,158,154,56:37:00,28.61%, ,56,37,202
,Aachener Weiher,01/10/2022,116,69,42:01:00,38.56%, ,42,1,203
,Rheinpark,03/10/2022,56,167,38:39:00,41.91%, ,38,39,204
,Catford,08/10/2022,160,155,53:27:00,30.31%, ,53,27,205
,Huddersfield,15/10/2022,509,391,38:11:00,42.43%, ,38,11,206
,Hilly Fields,22/10/2022,466,234,53:06:00,30.51%, ,53,6,207
,Charlton,29/10/2022,55,190,55:59:00,28.94%, ,55,59,208
,Gunpowder,05/11/2022,502,405,39:20:00,41.19%, ,39,20,209
,Foots Cray Meadows,12/11/2022,146,44,39:40:00,40.84%, ,39,40,210
,Bromley,19/11/2022,595,480,37:19:00,43.41%, ,37,19,211
,Catford,26/11/2022,167,163,56:33:00,28.65%, ,56,33,212
,Dartford Heath,03/12/2022,165,59,44:18:00,36.57%, ,44,18,213
,Sutcliffe,10/12/2022,66,120,39:00:00,41.54%, ,39,0,214
,Orpington,17/12/2022,464,217,43:59:00,36.83%, ,43,59,215
,Hilly Fields,24/12/2022,474,114,39:03:00,41.49%, ,39,3,216
,Catford,25/12/2022,171,96,52:28:00,30.88%, ,52,28,217
,Lordship Recreation Ground,31/12/2022,10,121,38:13:00,42.39%, ,38,13,218
,Hilly Fields,01/01/2023,477,110,40:54:00,39.61%, ,40,54,219
,Hilly Fields,07/01/2023,478,273,39:28:00,41.05%, ,39,28,220
,Riddlesdown,21/01/2023,555,211,41:13:00,39.30%, ,41,13,221
,Hilly Fields,28/01/2023,481,260,55:37:00,29.43%, ,55,37,222
,Beckenham Place,04/02/2023,258,249,37:28:00,43.68%, ,37,28,223
,Wimbledon Common,11/02/2023,777,926,38:54:00,42.07%, ,38,54,224
,Hillsborough,18/02/2023,447,438,36:01:00,45.44%, ,36,1,225
,Hilly Fields,25/02/2023,485,277,51:02:00,32.07%, ,51,2,226
